station_address,latitude,longitude,free_bikes,ID,place_name,rating,place_address,result_ID
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,The Keg Steakhouse + Bar,4.0,515 Jarvis Street,215
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,holts café,3.5,50 Bloor Street West,216
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Joso's,4.5,202 Davenport Road,217
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Bhoj Indian Cuisine,4.0,21 Davenport Road,218
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Jack Astor’s,3.0,2 Bloor Street East,219
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Dynasty Chinese Cuisine,3.0,69 Yorkville Avenue,220
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Lady Marmalade,4.0,265 Broadview Avenue,221
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,White Lily Diner,4.5,678 Queen Street E,222
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,The Comrade,4.0,758 Queen Street E,223
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Completo,4.5,337 Broadview Ave,224
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Tabule Middle Eastern Cuisine,4.0,810 Queen Street  E,225
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Wok & Roast Chinese BBQ,3.5,349 Broadview Ave,226
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,O’SOMAE,4.5,357 Broadview Ave,227
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,La Carnita,3.5,780 Queen Street E,228
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,ēst Restaurant,4.0,729 Queen Street E,229
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Dine & Dim,4.5,633 Gerrard St E,230
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Oji Seichi,4.0,354 Broadview Avenue,231
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Brickworks Cider House,4.0,709 Queen Street E,232
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Riverside Burgers,4.5,688 Queen St E,233
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Eastside Social,4.5,1008 Queen Street E,234
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Mi Mi Restaurant,4.0,686A Gerrard Street E,235
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Gusto 501,4.0,501 King Street E,236
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Batifole Restaurant,4.0,744 Gerrard Street E,237
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Wynona,4.5,819 Gerrard Street E,238
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Isaan Der,4.0,730 Queen St E,239
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12,Souk Tabule,4.5,494 Front Street E,240
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,Richmond Station,4.5,1 Richmond Street W,241
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,Pai Northern Thai Kitchen,4.5,18 Duncan Street,242
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,Chotto Matte,4.0,161 Bay Street,243
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,Beerbistro,4.0,18 King Street E,244
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,The Keg Steakhouse + Bar - Esplanade,4.0,26 The Esplanade,245
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,Canoe,4.0,66 Wellington Street  W,246
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,Jump Restaurant,3.5,18 Wellington Street W,247
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13,The Old Spaghetti Factory,3.5,54 The Esplanade,248
